rcasiteid,samp,upedon,TOP,BOT,Bulkdensity,SOC_pred1,Texture,fragvolc,c_tot_ncs,n_tot_ncs,s_tot_ncs,caco3,SOCstock5,SOCstock30,SOCstock100,Land_Use,lon,lat,geometry
C0101W04,C0101W041-2,C0101W041,8,17,1.100966615,4.87,PM,0.0,4.86587907,0.23404459,0.00613217,14.567524905405405,117.98180114018,231.814202387964,266.6248797208274,Wetland,-124.03,46.4,POINT (-124.03 46.4)
C0101W04,C0101W041-3,C0101W041,17,30,1.406609924,9.102366934,s,0.0,0.54162714,0.03926293,0.00100674,0.025363,117.98180114018,231.814202387964,266.6248797208274,Wetland,-124.03,46.4,POINT (-124.03 46.4)
C0101W04,C0101W041-4,C0101W041,30,80,1.140288881,6.42,PM,0.0,6.42414223,0.28612838,0.03767527,14.567524905405405,117.98180114018,231.814202387964,266.6248797208274,Wetland,-124.03,46.4,POINT (-124.03 46.4)
C0101W04,C0101W041-5,C0101W041,80,100,1.095890764,6.956619516,None,0.0,6.14341592450739,0.380186722364532,0.10659459826765187,14.567524905405405,117.98180114018,231.814202387964,266.6248797208274,Wetland,-124.03,46.4,POINT (-124.03 46.4)
C0101W10,C0101W101-1,C0101W101,0,7,0.884497118,20.97,PM,0.0,20.97346909,1.31666177,0.09853308,14.567524905405405,73.5493954553741,491.752812110169,1081.66809267881,Wetland,-123.98,46.34,POINT (-123.98 46.34)
C0101W10,C0101W101-2,C0101W101,7,44,0.907819945,23.95,PM,0.0,23.95122166,1.43711672,0.19320753,14.567524905405405,73.5493954553741,491.752812110169,1081.66809267881,Wetland,-123.98,46.34,POINT (-123.98 46.34)
C0101W10,C0101W101-3,C0101W101,44,50,1.120128984,11.06744803,sil,0.0,15.89921501,1.00572891,0.24681131,0.308875,73.5493954553741,491.752812110169,1081.66809267881,Wetland,-123.98,46.34,POINT (-123.98 46.34)
C0101W10,C0101W101-4,C0101W101,50,100,1.348035695,1.516712625,sicl,0.0,3.41514033,0.30958779,0.02687394,0.259513,73.5493954553741,491.752812110169,1081.66809267881,Wetland,-123.98,46.34,POINT (-123.98 46.34)
C0104F04,C0104F041-1,C0104F041,0,5,0.94899518,29.4,PM,0.0,29.40414328,0.93895584,0.0,2.4208391408250356,98.2131112984998,222.444692444148,518.577721419564,Forestland,-123.94,44.78,POINT (-123.94 44.78)
C0104F04,C0104F041-2,C0104F041,5,10,1.152968113,3.765334712,l,5.0,9.99029244,0.79403872,0.07515593,0.302054,98.2131112984998,222.444692444148,518.577721419564,Forestland,-123.94,44.78,POINT (-123.94 44.78)
C0104F04,C0104F041-3,C0104F041,10,18,0.539562855,2.786446632,l,5.0,7.23651605,0.68103283,0.07048907,0.327119,98.2131112984998,222.444692444148,518.577721419564,Forestland,-123.94,44.78,POINT (-123.94 44.78)
C0104F04,C0104F041-4,C0104F041,18,39,0.624270095,2.461294165,l,5.0,5.91274703,0.50968226,0.05194214,0.409803,98.2131112984998,222.444692444148,518.577721419564,Forestland,-123.94,44.78,POINT (-123.94 44.78)
C0104F04,C0104F041-5,C0104F041,39,50,0.663863549,2.00289984,cl,5.0,4.65227212,0.49538083,0.07753787,0.429881,98.2131112984998,222.444692444148,518.577721419564,Forestland,-123.94,44.78,POINT (-123.94 44.78)
